login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin,contributions,repo_id,full_name,message,documentation_url
dbamman,1024516.0,MDQ6VXNlcjEwMjQ1MTY=,https://avatars.githubusercontent.com/u/1024516?v=4,,https://api.github.com/users/dbamman,https://github.com/booknlp/booknlp,https://api.github.com/users/dbamman/followers,https://api.github.com/users/dbamman/following{/other_user},https://api.github.com/users/dbamman/gists{/gist_id},https://api.github.com/users/dbamman/starred{/owner}{/repo},https://api.github.com/users/dbamman/subscriptions,https://api.github.com/users/dbamman/orgs,https://api.github.com/users/dbamman/repos,https://api.github.com/users/dbamman/events{/privacy},https://api.github.com/users/dbamman/received_events,User,False,6.0,430563822,booknlp/booknlp,,
urschrei,131862.0,MDQ6VXNlcjEzMTg2Mg==,https://avatars.githubusercontent.com/u/131862?v=4,,https://api.github.com/users/urschrei,https://github.com/urschrei/pyzotero,https://api.github.com/users/urschrei/followers,https://api.github.com/users/urschrei/following{/other_user},https://api.github.com/users/urschrei/gists{/gist_id},https://api.github.com/users/urschrei/starred{/owner}{/repo},https://api.github.com/users/urschrei/subscriptions,https://api.github.com/users/urschrei/orgs,https://api.github.com/users/urschrei/repos,https://api.github.com/users/urschrei/events{/privacy},https://api.github.com/users/urschrei/received_events,User,False,1015.0,1423403,urschrei/pyzotero,,
TruePath,121223.0,MDQ6VXNlcjEyMTIyMw==,https://avatars.githubusercontent.com/u/121223?v=4,,https://api.github.com/users/TruePath,https://github.com/urschrei/pyzotero,https://api.github.com/users/TruePath/followers,https://api.github.com/users/TruePath/following{/other_user},https://api.github.com/users/TruePath/gists{/gist_id},https://api.github.com/users/TruePath/starred{/owner}{/repo},https://api.github.com/users/TruePath/subscriptions,https://api.github.com/users/TruePath/orgs,https://api.github.com/users/TruePath/repos,https://api.github.com/users/TruePath/events{/privacy},https://api.github.com/users/TruePath/received_events,User,False,13.0,1423403,urschrei/pyzotero,,
patrickfournier,1007824.0,MDQ6VXNlcjEwMDc4MjQ=,https://avatars.githubusercontent.com/u/1007824?v=4,,https://api.github.com/users/patrickfournier,https://github.com/urschrei/pyzotero,https://api.github.com/users/patrickfournier/followers,https://api.github.com/users/patrickfournier/following{/other_user},https://api.github.com/users/patrickfournier/gists{/gist_id},https://api.github.com/users/patrickfournier/starred{/owner}{/repo},https://api.github.com/users/patrickfournier/subscriptions,https://api.github.com/users/patrickfournier/orgs,https://api.github.com/users/patrickfournier/repos,https://api.github.com/users/patrickfournier/events{/privacy},https://api.github.com/users/patrickfournier/received_events,User,False,5.0,1423403,urschrei/pyzotero,,
davidlesieur,465838.0,MDQ6VXNlcjQ2NTgzOA==,https://avatars.githubusercontent.com/u/465838?v=4,,https://api.github.com/users/davidlesieur,https://github.com/urschrei/pyzotero,https://api.github.com/users/davidlesieur/followers,https://api.github.com/users/davidlesieur/following{/other_user},https://api.github.com/users/davidlesieur/gists{/gist_id},https://api.github.com/users/davidlesieur/starred{/owner}{/repo},https://api.github.com/users/davidlesieur/subscriptions,https://api.github.com/users/davidlesieur/orgs,https://api.github.com/users/davidlesieur/repos,https://api.github.com/users/davidlesieur/events{/privacy},https://api.github.com/users/davidlesieur/received_events,User,False,3.0,1423403,urschrei/pyzotero,,
ptgolden,376031.0,MDQ6VXNlcjM3NjAzMQ==,https://avatars.githubusercontent.com/u/376031?v=4,,https://api.github.com/users/ptgolden,https://github.com/urschrei/pyzotero,https://api.github.com/users/ptgolden/followers,https://api.github.com/users/ptgolden/following{/other_user},https://api.github.com/users/ptgolden/gists{/gist_id},https://api.github.com/users/ptgolden/starred{/owner}{/repo},https://api.github.com/users/ptgolden/subscriptions,https://api.github.com/users/ptgolden/orgs,https://api.github.com/users/ptgolden/repos,https://api.github.com/users/ptgolden/events{/privacy},https://api.github.com/users/ptgolden/received_events,User,False,2.0,1423403,urschrei/pyzotero,,
bemuzie,1344408.0,MDQ6VXNlcjEzNDQ0MDg=,https://avatars.githubusercontent.com/u/1344408?v=4,,https://api.github.com/users/bemuzie,https://github.com/urschrei/pyzotero,https://api.github.com/users/bemuzie/followers,https://api.github.com/users/bemuzie/following{/other_user},https://api.github.com/users/bemuzie/gists{/gist_id},https://api.github.com/users/bemuzie/starred{/owner}{/repo},https://api.github.com/users/bemuzie/subscriptions,https://api.github.com/users/bemuzie/orgs,https://api.github.com/users/bemuzie/repos,https://api.github.com/users/bemuzie/events{/privacy},https://api.github.com/users/bemuzie/received_events,User,False,2.0,1423403,urschrei/pyzotero,,
skybristol,5174997.0,MDQ6VXNlcjUxNzQ5OTc=,https://avatars.githubusercontent.com/u/5174997?v=4,,https://api.github.com/users/skybristol,https://github.com/urschrei/pyzotero,https://api.github.com/users/skybristol/followers,https://api.github.com/users/skybristol/following{/other_user},https://api.github.com/users/skybristol/gists{/gist_id},https://api.github.com/users/skybristol/starred{/owner}{/repo},https://api.github.com/users/skybristol/subscriptions,https://api.github.com/users/skybristol/orgs,https://api.github.com/users/skybristol/repos,https://api.github.com/users/skybristol/events{/privacy},https://api.github.com/users/skybristol/received_events,User,False,2.0,1423403,urschrei/pyzotero,,
alee,22534.0,MDQ6VXNlcjIyNTM0,https://avatars.githubusercontent.com/u/22534?v=4,,https://api.github.com/users/alee,https://github.com/urschrei/pyzotero,https://api.github.com/users/alee/followers,https://api.github.com/users/alee/following{/other_user},https://api.github.com/users/alee/gists{/gist_id},https://api.github.com/users/alee/starred{/owner}{/repo},https://api.github.com/users/alee/subscriptions,https://api.github.com/users/alee/orgs,https://api.github.com/users/alee/repos,https://api.github.com/users/alee/events{/privacy},https://api.github.com/users/alee/received_events,User,False,1.0,1423403,urschrei/pyzotero,,
avram,224208.0,MDQ6VXNlcjIyNDIwOA==,https://avatars.githubusercontent.com/u/224208?v=4,,https://api.github.com/users/avram,https://github.com/urschrei/pyzotero,https://api.github.com/users/avram/followers,https://api.github.com/users/avram/following{/other_user},https://api.github.com/users/avram/gists{/gist_id},https://api.github.com/users/avram/starred{/owner}{/repo},https://api.github.com/users/avram/subscriptions,https://api.github.com/users/avram/orgs,https://api.github.com/users/avram/repos,https://api.github.com/users/avram/events{/privacy},https://api.github.com/users/avram/received_events,User,False,1.0,1423403,urschrei/pyzotero,,
