topic_1,topic_2,count
computational-social-science,cultural-analytics,4
computational-social-science,digital-humanities,4
computational-social-science,digital-humanities,8
computational-social-science,digital-humanities,9
computational-social-science,digital-humanities,8
computational-social-science,digital-humanities,10
computational-social-science,digital-humanities,8
computational-social-science,digital-humanities,7
computational-social-science,digital-humanities,6
computational-social-science,digital-humanities,7
computational-social-science,digital-humanities,4
computational-social-science,natural-language-processing,4
computational-social-science,natural-language-processing,8
computational-social-science,natural-language-processing,7
computational-social-science,python,9
computational-social-science,text-analysis,8
computational-social-science,data-visualization,8
computational-social-science,information-theory,8
computational-social-science,sentiment-analysis,8
computational-social-science,text-as-data,8
computational-social-science,data-science,9
computational-social-science,visualization,9
computational-social-science,machine-learning,9
computational-social-science,r,9
computational-social-science,social-sciences,9
computational-social-science,web-scraping,9
computational-social-science,web-scraping,7
computational-social-science,qualitative-analysis,8
computational-social-science,nlp-machine-learning,8
computational-social-science,computational-sociology,8
computational-social-science,computational-sociology,6
computational-social-science,digital-sociology,8
computational-social-science,digital-sociology,6
computational-social-science,digital-sociology,7
computational-social-science,qualitative-data-analysis,8
computational-social-science,qualitative-research,8
computational-social-science,web-scraper,8
computational-social-science,web-scraper,7
computational-social-science,tutorial,10
computational-social-science,word2vec,7
computational-social-science,francais,10
computational-social-science,humanites-numeriques,10
computational-social-science,journalism,10
computational-social-science,journalisme,10
computational-social-science,pandas,10
computational-social-science,tutoriel,10
computational-social-science,uqam,10
computational-social-science,hatespeech,8
computational-social-science,methodology,8
computational-social-science,sociotechnical,8
computational-social-science,theory,8
computational-social-science,violence,8
computational-social-science,emnlp,7
computational-social-science,interpretable-models,7
computational-social-science,word-movers-distance,7
computational-social-science,data-science-portfolio,6
computational-social-science,personal-blog,6
computational-social-science,bibliometrics,7
computational-social-science,scientometrics,7
computational-social-science,sadilar,4
computational-social-science,south-african,4
cultural-analytics,digital-humanities,4
cultural-analytics,digital-humanities,7
cultural-analytics,digital-humanities,3
cultural-analytics,digital-humanities,4
cultural-analytics,digital-humanities,4
cultural-analytics,natural-language-processing,4
cultural-analytics,python,7
cultural-analytics,course-materials,7
